Date,Close/Last,Volume,Open,High,Low
05/16/2025,$266.76,3817937,$266.35,$267.98,$264.59
05/15/2025,$266.68,4856276,$259.01,$267.43,$258.61
05/14/2025,$257.82,3635124,$257.60,$260.55,$256.22
05/13/2025,$258.59,3521389,$254.43,$259.58,$252.88
05/12/2025,$253.69,4609520,$252.50,$253.81,$244.65
05/09/2025,$249.20,2901346,$252.51,$253.00,$247.64
05/08/2025,$254.14,3637012,$255.00,$256.52,$253.25
05/07/2025,$253.37,3400001,$249.45,$254.47,$248.832
05/06/2025,$249.12,2900556,$247.76,$250.19,$246.11
05/05/2025,$249.18,4138168,$243.74,$249.80,$243.64
05/02/2025,$245.55,3731946,$243.125,$245.69,$241.33
05/01/2025,$239.66,4243294,$241.44,$242.37,$237.945
04/30/2025,$241.82,5142993,$236.73,$242.47,$234.3401
04/29/2025,$239.39,3426508,$237.00,$239.98,$236.14
04/28/2025,$236.16,3653461,$232.86,$236.63,$232.07
04/25/2025,$232.41,6700068,$228.95,$233.36,$226.32
04/24/2025,$229.33,15428140,$231.175,$232.78,$224.4401
04/23/2025,$245.48,7948259,$246.00,$249.34,$243.66
04/22/2025,$240.90,4232658,$238.50,$242.64,$238.02
04/21/2025,$236.22,4908923,$238.065,$240.805,$232.93
04/17/2025,$238.81,4635204,$239.68,$241.775,$237.40
04/16/2025,$238.57,4870299,$240.28,$243.2999,$235.89
04/15/2025,$240.70,3363708,$239.55,$241.53,$238.27
04/14/2025,$239.06,3321717,$239.77,$241.77,$236.73
04/11/2025,$235.48,4325895,$229.72,$237.58,$227.51
04/10/2025,$229.55,5656108,$231.00,$232.57,$222.02
04/09/2025,$235.31,7302808,$217.12,$236.30,$215.1636
04/08/2025,$221.03,6849996,$232.56,$233.05,$217.28
04/07/2025,$225.78,7797889,$219.24,$232.29,$214.50
04/04/2025,$227.48,7407096,$238.00,$240.16,$226.88
04/03/2025,$243.49,5309626,$242.71,$250.61,$242.53
04/02/2025,$249.98,4080832,$248.22,$252.79,$247.23
04/01/2025,$250.34,4413139,$248.03,$250.62,$243.49
03/31/2025,$248.66,6794972,$242.74,$250.89,$242.49
03/28/2025,$244.00,3125594,$246.27,$247.57,$242.07
03/27/2025,$246.21,2889328,$249.71,$250.30,$245.725
03/26/2025,$250.34,4452220,$251.25,$254.32,$249.53
03/25/2025,$249.90,3133809,$248.36,$250.90,$248.20
03/24/2025,$248.45,4753331,$247.31,$248.82,$245.965
03/21/2025,$243.87,9580084,$241.69,$245.205,$238.50
03/20/2025,$243.32,7026796,$244.24,$246.80,$237.224
03/19/2025,$252.29,3853598,$248.33,$253.66,$246.64
03/18/2025,$246.95,4172239,$252.51,$252.57,$245.12
03/17/2025,$252.97,3234149,$249.25,$254.63,$249.00
03/14/2025,$248.35,4045284,$242.745,$248.9499,$241.68
03/13/2025,$245.80,3862416,$248.80,$249.27,$243.04
03/12/2025,$249.63,3849206,$250.35,$253.1273,$245.53
03/11/2025,$248.95,5630570,$255.99,$256.70,$245.86
03/10/2025,$256.90,8165503,$261.56,$266.45,$254.7474
03/07/2025,$261.54,6700184,$245.95,$261.96,$245.1823
03/06/2025,$248.69,3254358,$249.75,$252.10,$246.8019
03/05/2025,$251.35,4009813,$251.58,$252.74,$247.0146
03/04/2025,$253.21,5342106,$248.75,$255.48,$248.10
03/03/2025,$250.19,2977699,$254.735,$255.99,$248.245
02/28/2025,$252.44,7988809,$250.855,$252.8099,$246.54
02/27/2025,$253.23,3402234,$255.22,$257.63,$253.05
02/26/2025,$255.84,3460124,$258.10,$258.325,$254.4104
02/25/2025,$257.75,6292487,$261.08,$263.48,$256.77
02/24/2025,$261.87,4398107,$261.50,$263.845,$259.58
02/21/2025,$261.48,5667874,$263.845,$264.83,$261.10
02/20/2025,$264.74,4884805,$263.65,$265.09,$262.15
02/19/2025,$264.32,3718678,$262.00,$264.36,$260.09
02/18/2025,$263.07,4262812,$261.93,$263.965,$259.83
02/14/2025,$261.28,3925277,$259.00,$261.94,$257.91
02/13/2025,$259.19,4531538,$255.66,$259.28,$254.41
02/12/2025,$255.81,3075308,$252.72,$256.40,$252.02
02/11/2025,$254.70,4801550,$251.10,$256.75,$250.58
02/10/2025,$249.27,3564400,$250.86,$251.95,$246.87
02/07/2025,$252.34,3370284,$255.28,$256.93,$252.02
02/06/2025,$253.44,6128293,$262.98,$263.38,$252.73
02/05/2025,$263.30,6165096,$265.71,$265.72,$261.18
